 main_id, assoc, spec_type, RA_h, RA_m, RA_s, ra, Dec_d, Dec_m, Dec_s, dec, pmra, e_pmra, pmdec, e_pmdec, dist, e_dist, radvel, e_radvel, HR1, NUVmag, e_NUVmag, Gmag, e_Gmag, Jmag, e_Jmag, IR_ex, known_assoc, youth, ref, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S25, S26, MatchID, MatchRA, MatchDEC, pmRA_, pmDEC_, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, pmRA Err., pmDec Err., Parallax, Parallax Err., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
118 Tau,118TAU,B8V,0,0,NaN,82.31875,0,0,NaN,25.15022222,11,1,-37.2,0.5,130,10,15,4,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286135836,82.318735,25.150226,7.6,-39.8,5.834,STAR,2mass,0.050739456,20180610,25695,1852-01198-1,576-016162,05291649+2509008,,,,,,0.9,0.8,7.52,1.09,5.767,0.023,5.47477,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.824,0.027,5.882,0.018,5.887,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.035,10568,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,132.9787,19.2748,NaN,NaN,155,0.5679541,,,1
HD 36546,118TAU,A0V,0,0,NaN,83.37816667,0,0,NaN,24.62880556,9.2,0.8,-41.8,0.3,114,8,20,1,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74214081,83.378195,24.628811,6.14,-40.98,6.938,STAR,2mass,0.0947557,20180610,26062,1852-01694-1,574-016883,05333076+2437438,,J053330.76+243743.3,3.42E+18,45485916,,2,2,8.78,0.61,7.021,0.025,6.97677,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.845,0.024,6.922,0.042,6.815,0.023,6.813,0.066,6.747,0.023,5.131,0.015,2.29,0.02,6.97743,0.000345996,0.019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,113.895,NaN,NaN,NaN,170,0.01182822,,,NaN
HD 245358,118TAU,G5V,0,0,NaN,84.21533333,0,0,NaN,23.43483333,6.2,0.6,-37.6,0.6,108,4,14.5,0.5,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19699155,84.21535,23.434808,6.24525,-37.6134,8.032,STAR,2mass,0.106522546,20180610,,1861-00951-1,568-018467,05365168+2326053,,J053651.68+232605.0,3.40E+18,45488423,,0.572312,0.573775,9.23929,0.334601,9.521,0.037,8.81,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.328,0.029,7.022,0.021,6.913,0.02,6.868,0.063,6.881,0.022,6.888,0.017,6.734,0.076,8.55341,0.000345996,0.019,6531,199,3.91912,0.320282,NaN,NaN,2.10948,0.25514,1.34598,0.282545,DWARF,7.293975,1.764401,108.2334,5.26445,NaN,NaN,112,0.001057558,,,NaN
V1366 Tau,118TAU,K4V,0,0,NaN,82.427,0,0,NaN,23.56969444,1,5,-43,5,NaN,NaN,17.1,0.5,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19559847,82.426994,23.569724,3.60108,-33.8094,11.124,STAR,2mass,0.108241979,20180610,,,568-017312,05294247+2334110,,J052942.48+233410.5,3.42E+18,45483094,,2.35617,2.35617,NaN,NaN,14.799,0.132,13.378,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.659,0.021,9.023,0.022,8.783,0.02,8.677,0.023,8.533,0.02,8.407,0.025,8.443,0.316,12.1561,0.000372212,0.017,3487,161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
2MASS J05390093+2322079,118TAU,M6e,0,0,NaN,84.75391667,0,0,NaN,23.36891667,-2,4,-46,4,NaN,NaN,14.8,0.6,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19932426,84.753911,23.368883,NaN,NaN,14.903,STAR,2mass,0.12265173,20180610,,,,05390093+2322079,,J053900.94+232207.6,,,,NaN,NaN,NaN,NaN,20.207,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.682,0.024,12.106,0.023,11.792,0.02,11.529,0.024,11.273,0.021,10.967,0.142,8.602,NaN,NaN,NaN,0.095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
HD 244354,118TAU,G2IV,0,0,NaN,82.76829167,0,0,NaN,23.20966667,5.6,0.05,-38,0.1,118,5,13.8,0.6,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432909199,82.768253,23.209662,5.59586,-38.0249,8.45,STAR,2mass,0.129045236,20180610,25848,1848-00774-1,567-017010,05310438+2312347,,J053104.38+231234.3,3.42E+18,45483957,,0.100039,0.0523231,8.49471,0.348213,9.841,0.048,9.17,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.818,0.026,7.507,0.042,7.403,0.024,7.316,0.037,7.343,0.021,7.348,0.018,7.07,0.1,8.91825,0.000345996,0.019,6254,195,3.99288,0.306313,NaN,NaN,1.84097,0.237826,1.21491,0.199897,DWARF,4.671105,1.206875,117.7203,6.36947,NaN,NaN,158,0.2059517,,,NaN
HD 245924,118TAU,K0IV,0,0,NaN,84.87891667,0,0,NaN,23.10911111,3,1,-36,1,109,4,15.1,0.5,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19934471,84.878901,23.109146,3.29298,-35.5802,8.71,STAR,2mass,0.135898727,20180610,,1861-01272-1,566-018431,05393093+2306330,,J053930.93+230632.6,3.40E+18,45488719,,1.37405,1.22028,9.20097,0.331626,10.469,0.064,9.695,0.005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.944,0.019,7.463,0.021,7.353,0.017,7.207,0.032,7.225,0.019,7.206,0.017,7.106,0.113,9.27753,0.000345996,0.017,4856,179,3.7399,0.33077,NaN,NaN,1.98667,0.307018,0.790169,0.0930921,GIANT,1.977247,0.6111235,108.6842,3.78098,NaN,NaN,94,0.07328093,,,NaN
V1364 Tau,118TAU,G4V,0,0,NaN,80.97766667,0,0,NaN,25.51327778,4,3,-34,3,NaN,NaN,14.2,0.5,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54185105,80.97765,25.513327,NaN,NaN,10.931,STAR,2mass,0.185284389,20180610,,,578-015715,05235463+2530479,,J052354.68+253046.6,,47462175,,NaN,NaN,NaN,NaN,13.764,0.074,12.484,0.092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.717,NaN,9.073,0.027,8.918,0.033,8.527,0.023,8.504,0.021,8.464,0.027,8.339,0.288,NaN,NaN,0.032,3927,169,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
V1361 Tau,118TAU,G7IV,0,0,NaN,80.445125,0,0,NaN,24.01233333,12,1,-47,2,89,2,13.1,0.5,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54006139,80.445189,24.012315,11.9713,-47.4033,9.514,STAR,2mass,0.220563204,20180610,,1847-00419-1,571-016611,05214684+2400444,,J052146.84+240044.0,3.42E+18,45479385,,1.82944,1.46735,11.2444,0.224707,11.493,0.11,10.375,0.011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.727,0.02,8.203,0.024,8.07,0.021,7.882,0.027,7.932,0.021,7.865,0.021,7.659,0.236,10.0957,0.000345996,0.017,4765,170,4.14184,0.315046,NaN,NaN,1.2218,0.173855,0.766891,0.0903315,GIANT,0.2916303,0.06877126,88.93293,1.7424,NaN,NaN,0,NaN,,,NaN
2MASS J05373850+2428517,118TAU,M5.25e,0,0,NaN,84.41045833,0,0,NaN,24.48091667,2,4,-39,4,NaN,NaN,14.7,0.6,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74920885,84.410431,24.481026,4.06512,-36.5893,13.667,STAR,2mass,0.403645178,20180610,,,,05373850+2428517,,J053738.50+242851.4,3.40E+18,,,2.13292,2.1329,NaN,NaN,19.291,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.668,0.022,11.066,0.02,10.78,0.018,10.601,0.023,10.342,0.02,10.191,0.081,8.323,NaN,14.9969,0.00153129,0.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
V1364 Tau,118TAU,G4V,0,0,NaN,80.97766667,0,0,NaN,25.51327778,4,3,-34,3,NaN,NaN,14.2,0.5,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54185108,80.978397,25.512444,NaN,NaN,12.569,STAR,2mass,3.826210742,20180610,,,578-015717,05235481+2530447,,,3.42E+18,,,NaN,NaN,NaN,NaN,13.89,0.035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.141,NaN,10.378,0.022,10.097,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.7332,0.000792356,0.015,5122,182,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
118 Tau,118TAU,B8V,0,0,NaN,82.31875,0,0,NaN,25.15022222,11,1,-37.2,0.5,130,10,15,4,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286135838,82.318068,25.149076,NaN,NaN,6.451,STAR,2mass,4.686831692,20180610,,,576-016161,05291633+2508566,,J052916.43+250858.3,3.42E+18,46447340,,NaN,NaN,NaN,NaN,NaN,NaN,6.824,0.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.056,0.032,5.98,0.021,5.958,0.026,5.295,0.193,4.975,0.058,5.367,0.016,5.436,0.037,6.73669,0.000345996,0.021,8576,228,4.08335,1.34433,NaN,NaN,2.2014,1.46521,2.139544,0.40148,,23.61732,23.61732,NaN,NaN,NaN,NaN,159,1.763313,,,NaN
HD 34718,118TAU,F5,5,20,35.038,80.14599167,24,6,32.49,24.109025,2.43,0.86,-45.08,0.72,87.2,1.7,NaN,NaN,NaN,NaN,NaN,8.673,0.001,7.83,0.01,0,,,-;-;-;-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62634517,80.145968,24.10921,2.42549,-45.0801,8.315,STAR,2mass,0.670525057,20180610,,1847-01085-1,571-016489,05203503+2406332,,J052035.03+240632.7,3.42E+18,45479071,,0.864339,0.719329,11.4708,0.228067,9.325,0.038,8.836,0.003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.829,0.02,7.628,0.016,7.549,0.024,7.5,0.026,7.563,0.021,7.601,0.02,7.525,0.165,8.67286,0.000345996,0.017,6310.57,144.434,NaN,NaN,-0.0010005,0.0121495,1.48589,0.149542,1.54168,0.364527,DWARF,3.154586,0.6349637,87.17818,2.86404,NaN,NaN,151,0.004511144,,,NaN
J0520+2504,118TAU,(M4),5,20,36.223,80.15092917,25,4,4,25.06777778,9.41,0.18,-42.55,0.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62632828,80.150885,25.067964,9.77648,-42.6031,13.839,STAR,2mass,0.685690351,20180610,,,,05203621+2504047,,J052036.21+250404.2,3.42E+18,,,2.13306,2.13293,NaN,NaN,18.472,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.013,0.024,11.418,0.024,11.134,0.018,10.983,0.024,10.746,0.021,10.634,0.097,8.505,NaN,15.078,0.00160233,0.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
AB Dor Bab,ABDMG,M5Ve,0,0,NaN,82.18529167,0,0,NaN,-65.44619444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,4,4,4,4,4,4,4,4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,149248193,82.185279,-65.446198,NaN,NaN,9.947,STAR,2mass,0.022880172,20180610,,,,05284446-6526463,,,4.66E+18,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.171,0.018,7.659,0.042,7.341,0.031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.1587,0.000345996,0.016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0853241,NaN,0,NaN,,,NaN
HIP 26369 B,ABDMG,K7,0,0,NaN,84.22958333,0,0,NaN,-47.96336111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290716990,84.229577,-47.963367,NaN,NaN,8.452,STAR,2mass,0.026123665,20180610,,,211-006622,05365509-4757481,,J053655.13-475748.0,4.80E+18,,,NaN,NaN,NaN,NaN,2.914,0.612,9.892,0.412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.448,0.026,6.828,0.04,6.607,0.017,6.418,0.103,6.452,0.037,6.419,0.022,6.252,0.046,9.18752,0.000345996,0.018,4090,171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0578025,NaN,0,NaN,,,NaN
2MASS J14252798-3650229,ABDMG,L4{gamma},0,0,NaN,216.3665833,0,0,NaN,-36.83972222,-285,1,-463,1,11.6,0.1,5.4,0.3,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167670065,216.366594,-36.839722,NaN,NaN,15.497,STAR,2mass,0.03083834,20180610,,,,14252798-3650229,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.747,0.028,12.575,0.022,11.805,0.027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
2MASS J00470038+6803543,ABDMG,L6-L8{gamma},0,0,NaN,11.751625,0,0,NaN,68.06511111,385,1,-201,1,12.2,0.3,-20,1,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,368451406,11.751611,68.065102,NaN,NaN,17.354,STAR,2mass,0.037815814,20180610,,,,00470038+6803543,,,,,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.604,0.068,13.968,0.041,13.053,0.029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,,,NaN
AK Pic AB,ABDMG,G1.5V,0,0,NaN,99.50154167,0,0,NaN,-61.53338889,-48,1,72.7,0.9,21.3,0.4,32,1,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,4,4,4,4,4,4,4,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,375034557,99.501525,-61.533382,-50,73,6.478,STAR,2mass,0.037861019,20180610,31711,8895-00851-2,143-008078,06380036-6132001,,J063800.31-613159.5,,29879826,,8,8,46.15,0.64,9.828,0.033,6.15,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.079,0.272,4.747,0.092,4.544,0.026,4.503,0.253,4.193,0.149,4.5,0.015,4.439,0.026,NaN,NaN,0.273,5913,132,NaN,NaN,NaN,NaN,1.17166,0.119839,1.0248,0.123612,DWARF,1.511922,0.309283,21.66847,0.300494,0.0661657,NaN,50,0.001380871,,,0.02157948
41 Ari AB,ABDMG,B8Vn,0,0,NaN,42.49595833,0,0,NaN,27.2605,66.8,0.2,-116.5,0.2,50.8,0.5,4,4,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,436872005,42.495972,27.260521,65,-117,3.581,STAR,2mass,0.087344651,20180610,13209,1789-01490-1,587-006514,02495902+2715381,,J024959.11+271536.9,,46640869,,8,8,20.45,0.79,3.499,0.022,3.612,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.657,0.294,3.803,0.238,3.864,0.036,3.888,0.285,3.634,0.174,3.879,0.016,3.553,0.024,NaN,NaN,0.295,11885,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,48.89976,1.88904,0.128404,NaN,34,0.009354651,,,1
BD+01 2447,ABDMG,M2V,0,0,NaN,157.2315,0,0,NaN,0.840972222,-604,2,-729,2,7.1,0.1,8.2,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277888583,157.2315,0.841,-601.17,-732.76,7.552,STAR,2mass,0.1000008,20180610,51317,0246-01068-1,455-050081,10285555+0050275,1.24E+18,,,,,2,2,138.29,2.13,11.054,0.064,9.65,0.1,15.4777,0.00890218,10.5111,0.000413901,9.069,0.000394109,8.01548,0.00024021,8.25557,0.000944789,6.176,0.021,5.605,0.033,5.311,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.033,3525,88,4.8454,0.0659792,NaN,NaN,0.435,0.014,0.483,0.01,DWARF,0.02632144,0.001694254,11.75642,0.111378,0.06092,NaN,17,0.000639401,,,0.02025811
HD 223352 AB,ABDMG,A0V,0,0,NaN,357.2314583,0,0,NaN,-28.13027778,100.8,0.3,-105.3,0.2,42.1,0.4,9,2,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33982930,357.231469,-28.130311,100,-104,4.846,STAR,2mass,0.124322977,20180610,117452,6988-01337-1,310-267287,23485554-2807490,,J234855.62-280750.3,,,,8,8,22.73,1.12,4.572,0.022,4.59,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.801,0.262,4.643,0.076,4.532,0.021,4.472,0.258,4.085,0.159,4.524,0.015,4.109,0.026,NaN,NaN,0.263,9845.73,44.1794,NaN,NaN,NaN,NaN,1.80833,0.15834,2.30047,0.413573,DWARF,27.68482,4.848247,43.99472,2.1678,0.0223291,NaN,16,0.03113866,,,1
2MASS J00192626+4614078,ABDMG,M8{beta},0,0,NaN,4.859416667,0,0,NaN,46.2355,119.4,0.9,-75.4,0.9,39,2,-20,3,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440114956,4.859459,46.235477,115,-83,14.353,STAR,2mass,0.134044303,20180610,,,,00192626+4614078,,J001926.39+461406.8,,,,8,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.603,0.021,11.94,0.023,11.502,0.014,11.28,0.023,11.018,0.02,10.739,0.075,9.434,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.0865245,NaN,0,NaN,,,NaN
HIP 14807,ABDMG,K6,0,0,NaN,47.801375,0,0,NaN,22.42302778,55,4,-134,4,53,9,4.1,0.3,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,471011385,47.801395,22.422992,59.21,-129.85,10.55,STAR,hip,0.144987036,20180610,14807,,,,,,,,,3.69,3.67,19.36,3.04,NaN,NaN,10.55,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,51.65289,8.11078,0.2253,NaN,19,NaN,,,NaN
J1912+4931,ABDMG,(M4),19,12,52.706,288.2196083,49,31,15.23,49.52089722,22.64,0.27,-4.66,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,298963920,288.219557,49.520931,13.4117,-3.3456,11.548,STAR,2mass,0.17076835,20180610,,,698-067072,19125269+4931153,,J191252.71+493115.3,2.13E+18,,11552646,2.34932,2.34933,NaN,NaN,16.86,0.164,14.419,0.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.843,0.031,9.285,0.033,8.945,0.025,8.725,0.023,8.542,0.019,8.393,0.021,8.231,0.168,12.7194,0.00048537,0.019,3272,160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.0849391,NaN,0,NaN,,,NaN
HD 220825,ABDMG,A0,0,0,NaN,351.7331667,0,0,NaN,1.255611111,86.7,0.3,-94.3,0.2,47.1,0.6,-4.4,0.6,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422505074,351.733117,1.255613,86,-94,5.352,STAR,2mass,0.179006258,20180610,115738,0578-01415-1,457-121839,23265595+0115201,,J232656.02+011519.3,,,,8,8,21.25,0.29,4.963,0.022,4.93849,0.023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.317,0.27,4.984,0.016,4.902,0.018,4.886,0.26,4.75,0.124,4.959,0.015,4.517,0.023,NaN,NaN,0.271,9180,237,4.25416,0.275215,NaN,NaN,1.8993,0.20213,2.32532,0.415634,DWARF,34.26833,34.26833,47.0588,NaN,0.0342468,NaN,0,NaN,,,NaN
HD 209952,ABDMG,B6V,0,0,NaN,332.05825,0,0,NaN,-46.96094444,126.7,0.1,-147.5,0.1,31,0.2,11,2,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279316667,332.058289,-46.960987,128,-148,2.521,STAR,2mass,0.180712741,20180610,,,216-196039,22081397-4657393,,J220814.12-465740.9,,,,8,8,NaN,NaN,-0.123,0.353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.021,0.35,2.027,0.228,2.016,0.244,0.4,NaN,0.472,NaN,NaN,NaN,2.176,0.021,NaN,NaN,0.8,12882,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.0153563,NaN,42,9.07E-06,,,1
WX Col A,ABDMG,K1V,0,0,NaN,84.303875,0,0,NaN,-42.7155,8.4,0.2,-10.1,0.2,80,1,30.5,0.3,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354571604,84.30386,-42.71545,5.42956,-8.12711,8.852,STAR,2mass,0.184320767,20180610,,,237-006701,05371292-4242556,,J053713.07-424256.3,4.80E+18,19826275,,0.591581,0.55057,NaN,NaN,10.37,NaN,9.925,0.114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.08,0.026,7.723,0.051,7.663,0.02,7.233,0.034,7.394,0.019,7.384,0.017,7.427,0.124,9.42435,0.000345996,0.019,5392,287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,GIANT,NaN,NaN,NaN,NaN,0.0355053,NaN,0,NaN,,,NaN
