 main_id, assoc, spec_type, RA_h, RA_m, RA_s, ra, Dec_d, Dec_m, Dec_s, dec, pmra, e_pmra, pmdec, e_pmdec, dist, e_dist, radvel, e_radvel, HR1, NUVmag, e_NUVmag, Gmag, e_Gmag, Jmag, e_Jmag, IR_ex, known_assoc, youth, ref, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S20, S21, S22, S23, S24, S25, S26, MatchID, MatchRA, MatchDEC, pmRA_, pmDEC_, TESS Mag., Object Type, Source of Type, dstArcSec, Version, HIP, TYC ID, UCAC ID, 2MASS ID, SDSS ID, ALLWISE ID, GAIA ID, APASS ID, KIC ID, pmRA Err., pmDec Err., Parallax, Parallax Err., B Mag., B Mag. Err., V Mag., V Mag. Err., u Mag., u Mag. Err., g Mag., g Mag. Err., r Mag., r Mag. Err., i Mag., i Mag. Err., z Mag., z Mag. Err., J Mag., J Mag. Err., H Mag., H Mag. Err., K Mag., K Mag. Err., W1 Mag., W1 Mag. Err., W2 Mag., W2 Mag. Err., W3 Mag., W3 Mag. Err., W4 Mag., W4 Mag. Err., GAIA G Mag., GAIA G Mag. Err., TESS Mag. Err., T_eff, T_eff Err., log(g), log(g) Err., Metallicity, Metallicity Err., Stellar Radius, Stellar Radius Err., Stellar Mass, Stellar Mass Err., Luminosity Class from RPM, Stellar Luminosity, Stellar Luminosity Err., Distance, Distance Err., E(B-V), E(B-V) Err., Num. Sources in Aper., Contam. Ratio, Disposition, duplicate_id, priority
J0429-3608,COL,(M4),4,29,17.911,67.32462917,-36,8,27.1,-36.14086111,43.2,0.07,1.75,0.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7785194,67.324391,-36.140887,38.2158,4.67777,12.685,STAR,2mass,0.698664414,20180610,,,270-004823,04291785-3608271,,J042917.89-360827.1,4.87E+18,17545981,,3.11208,3.11208,NaN,NaN,17.07,0.18,15.905,0.309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.074,0.029,10.454,0.027,10.187,0.021,10.045,0.023,9.869,0.02,9.667,0.034,9.297,NaN,13.8031,0.000820342,0.018,3088,163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.0223353,NaN,0,NaN,,,NaN
AH Lep,COL,G3,0,0,NaN,83.53829167,0,0,NaN,-15.28430556,24.2,0.6,-22.7,0.6,57,0.7,23,1,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46386531,83.538102,-15.284208,24.2259,-22.697,7.772,STAR,2mass,0.746449469,20180610,,5916-00792-1,374-008676,05340914-1517031,,J053409.17-151703.2,2.97E+18,7629262,,0.566592,0.575299,17.5261,0.233475,9.079,0.028,8.448,0.002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.24,0.026,6.975,0.04,6.852,0.027,6.886,0.073,6.887,0.021,6.893,0.014,6.791,0.087,8.16513,0.000345996,0.019,5792,85,NaN,NaN,NaN,NaN,1.26899,0.115146,1.11965,0.146133,DWARF,1.632771,0.2963098,57.05776,1.2376,0.109274,NaN,48,0.01584668,,,0.004402954
J0341-2253,COL,(M1),3,41,15.632,55.31513333,-22,53,8.07,-22.885575,51.45,0.05,-15.23,0.05,NaN,NaN,18,2,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121007796,55.3149,-22.8855,48.2,-16.84,11.088,STAR,2mass,0.819616003,20180610,,,336-004232,03411557-2253077,,J034115.61-225307.9,5.09E+18,10182448,,2,2,NaN,NaN,14.364,0.071,12.94,0.046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.911,0.023,9.271,0.024,9.019,0.019,8.922,0.023,8.885,0.02,8.742,0.026,8.413,NaN,11.9906,0.000345996,0.04,3838,68,4.72452,0.337206,NaN,NaN,0.56,0.081,0.606,0.105,DWARF,0.06130426,0.01773445,78.49644,NaN,0.0223676,NaN,16,0.6186845,,,0.002489112
HIP 16449,COL,A3V,0,0,NaN,52.97379167,0,0,NaN,-25.61422222,54.01,0.02,-15.04,0.03,68,2,17.3,0.9,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144596888,52.973544,-25.614171,54.0057,-15.0423,6.3,STAR,2mass,0.824863066,20180610,16449,6449-01320-1,322-003623,03315364-2536509,,J033153.68-253651.1,5.08E+18,12502947,,0.0220854,0.0279456,14.639,0.504453,6.503,0.022,6.38,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.159,0.021,6.115,0.027,6.1,0.023,6.097,0.1,6.045,0.039,6.115,0.015,5.372,0.034,6.37917,0.000345996,0.018,8429.95,56.3375,NaN,NaN,NaN,NaN,1.56716,0.165745,2.05003,0.396296,DWARF,11.17433,2.363625,68.31068,2.73876,0.0156481,NaN,18,0.002520556,,,0.004356516
J0344-2005,COL,(M4),3,44,33.867,56.1411125,-20,5,38.48,-20.09402222,51.21,0.08,-17.88,0.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121049033,56.1409,-20.0939,42.39,-19.58,13.128,STAR,2mass,0.842461592,20180610,,,350-004256,03443381-2005381,,J034433.84-200538.3,5.09E+18,10183974,,2,2,NaN,NaN,17.662,0.021,16.021,0.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.318,0.024,10.804,0.024,10.485,0.023,10.364,0.023,10.15,0.02,9.937,0.052,9.143,NaN,14.2961,0.00105279,0.04,3133,65,5.05057,0.427936,NaN,NaN,0.212,0.038,0.184,0.043,DWARF,0.003901288,0.001398575,NaN,NaN,0.0546395,NaN,24,0.003045764,,,0.003208951
HIP 22226,COL,F3V,0,0,NaN,71.70654167,0,0,NaN,-26.30247222,33.8,0.03,-5.03,0.05,80,2,21,3,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590274,71.706283,-26.302424,33.7947,-5.02622,7.474,STAR,2mass,0.852659005,20180610,22226,6468-01650-1,319-005617,04464950-2618087,,J044649.55-261808.8,4.88E+18,12626353,,0.0322546,0.0533196,12.4501,0.253779,8.196,0.033,7.85,0.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.099,0.018,6.951,0.031,6.894,0.021,6.872,0.063,6.867,0.021,6.867,0.016,6,0.049,7.74485,0.000345996,0.017,6785.67,60.7838,NaN,NaN,NaN,NaN,1.46832,0.138469,1.46816,0.343518,DWARF,4.118196,0.7767279,80.32064,2.53503,0.0332721,NaN,15,0.000216744,,,0.004188815
J0301-3607,COL,(M5),3,1,56.827,45.48677917,-36,7,26.09,-36.12391389,54.92,0.09,-9.25,0.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175493040,45.486486,-36.123891,55.0426,-6.59124,14.22,STAR,2mass,0.856476104,20180610,,,,03015675-3607260,,J030156.79-360726.0,5.05E+18,,,3.35513,3.35513,NaN,NaN,19.168,0.162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12.338,0.022,11.757,0.023,11.48,0.023,11.308,0.023,11.082,0.021,10.989,0.076,9.039,NaN,15.489,0.00203189,0.017,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,DWARF,NaN,NaN,NaN,NaN,0.0190248,NaN,0,NaN,,,NaN
J0446-2627,COL,(M5),4,46,34.105,71.64210417,-26,27,56.84,-26.46578889,33.35,0.08,-5.46,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590241,71.642219,-26.465544,NaN,NaN,12.883,STAR,2mass,0.956124549,20180610,,,318-005949,04463413-2627559,,J044634.16-262756.1,4.88E+18,13197746,,NaN,NaN,NaN,NaN,17.365,0.162,16.47,1.133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.181,0.027,10.743,0.037,10.495,0.034,10.057,0.023,9.829,0.019,8.911,0.025,6.964,0.075,14.0529,0.0009,0.018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,0.0345416,NaN,0,NaN,,,NaN
J0307-2750,COL,(M4),3,7,49.175,46.95489583,-27,50,46.99,-27.84638611,67.62,0.09,-16.97,0.1,NaN,NaN,13.8,0.8,NaN,NaN,NaN,NaN,,NaN,,NaN,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88478794,46.9546,-27.8463,66.08,-17.41,12.899,STAR,2mass,0.991379092,20180610,,,311-003056,03074909-2750467,,J030749.14-275046.9,5.07E+18,,,2,2,NaN,NaN,18.682,0.162,16.22,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.011,0.023,10.43,0.027,10.161,0.021,9.997,0.023,9.778,0.02,9.706,0.034,9.275,NaN,13.9058,0.000863483,0.059,2993,97,5.11933,0.514247,NaN,NaN,0.164,0.035,0.129,0.037,DWARF,0.001944506,0.000829972,NaN,NaN,0.014251,NaN,14,3.800757,,,0.003890752
TYC 8881-551-1,COL,K0IV/V,4,59,5.759,74.77399583,-63,25,29.48,-63.42485556,28.72,0.19,27.57,0.24,86.8,1.6,18.3,0.3,-0.22,16.24,0.02,10.113,0.001,8.35,0.01,1,,UV;Lm,5;5;5;- d,4,4,4,4,4,4,4,4,4,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,55745232,74.77339,-63.424935,35.7,22.2,9.548,STAR,2mass,1.016767433,20180610,23171,8881-00551-1,133-004981,04590561-6325297,,J045905.64-632529.3,4.66E+18,29824766,,2.5,2.5,10.06,1.34,NaN,NaN,11.057,0.022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.348,0.023,7.993,0.024,7.874,0.021,7.76,0.026,7.843,0.02,7.806,0.017,7.859,0.109,10.414,0.000345996,0.018,4154,171,3.81841,0.630676,NaN,NaN,1.64631,0.510313,0.650131,0.0753055,DWARF,0.7270828,0.4507533,99.4036,15.344,0.0295309,NaN,31,0.001436931,,,0.00513632
